bnr,bnetza_name
10000145,Elektrizitätswerk Dahner Felsenland
10000563,Eichsfelder Energie- und Wasserversorgungsgesellschaft mbH
10000639,Stadtwerke Buchholz in der Nordheide GmbH
10001045,Stadtwerke Bad Harzburg GmbH
10001222,EVU der Ortsgemeinde Rheinzabern
10001289,Fürstlich Fugger von Glött´sche Elektrizitätswerk GmbH & Co KG
10001385,Raiffeisenbank Altmühl-Jura eG
10001408,"Philipp Maier jun. Berneck, Inhaber Wilhelm Kempf Erben"
10001410,Heinzelmann Elektrizitätswerk GmbH & Co. KG
10001481,VW KRAFTWERK Gesellschaft mit beschränkter Haftung
10001581,e-Werk Gerolsheim
10001662,Energieversorgung Josef Schmid
10001672,Gemeindewerke Weidenthal c/o Stadtwerke Kaiserslautern
10001912,InfraServ GmbH & Co. Wiesbaden KG
10003018,VSE Verteilnetz GmbH
10003104,Veolia Industriepark Deutschland GmbH
10003112,SWL Übertragungsnetzgesellschaft mbH
10003205,EGC Energie- und Gebäudetechnik Control GmbH & Co. KG
10003638,Energieversorgung Titisee-Neustadt GmbH
10003671,Energiequelle GmbH & Co. Windpark Feldheim 2006 KG
10003739,InfraLeuna GmbH
10006794,Vorarlberger Energienetze GmbH
10007081,Stromnetz Weiden i.d.OPf. GmbH & Co. KG
10011292,InfraServ Gendorf Netze GmbH
10011648,CPM Netz GmbH
10013437,werkkraft GmbH
10013681,Stadtwerke Witten Mittelspannungsnetz GmbH
10013832,Reußenköge Netz & Infrastruktur Gmbh
